laureate_id,awardYear,category,prize,motivation,portion,laureate_type,full_Name,gender,birth_city,birth_country,birth_continent,organization_name,organization_city,organization_country,death_city,death_country,iso_alpha,birth_date_datetime,death_date_datetime,years_lived,dateAwarded_datetime,laureates_age_receiving_prize,decade,US_born_laureates,female_laureates,chemistry_category,physics_category,Literature_category,Peace_category,Physiology or Medicine,
0,745,2001,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2001,for their analyses of markets with asymmetric information,01-Mar,Individual,A. Michael Spence,male,"Montclair, NJ",USA,North America,Stanford University,"Stanford, CA",USA,,,USA,01-01-1943,,,10-10-2001,59,2000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,102,1975,Physics,The Nobel Prize in Physics 1975,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,01-Mar,Individual,Aage Niels Bohr,male,Copenhagen,Denmark,Europe,Niels Bohr Institute,Copenhagen,Denmark,Copenhagen,Denmark,DNK,19-06-1922,08-09-2009,87,17-10-1975,53,1970,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2,779,2004,Chemistry,The Nobel Prize in Chemistry 2004,for the discovery of ubiquitin-mediated protein degradation,01-Mar,Individual,Aaron Ciechanover,male,Haifa,Israel,Asia,Technion - Israel Institute of Technology,Haifa,Israel,,,ISR,01-10-1947,,,06-10-2004,57,2000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
3,259,1982,Chemistry,The Nobel Prize in Chemistry 1982,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,1,Individual,Aaron Klug,male,Zelvas,Lithuania,Europe,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,,,LTU,11-08-1926,20-11-2018,92,18-10-1982,56,1980,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
4,1004,2021,Literature,The Nobel Prize in Literature 2021,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents,1,Individual,Abdulrazak Gurnah,male,,,,,,,,,,01-01-1948,,,07-10-2021,74,2020,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
5,114,1979,Physics,The Nobel Prize in Physics 1979,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",01-Mar,Individual,Abdus Salam,male,Jhang Maghiāna,Pakistan,Asia,International Centre for Theoretical Physics,Trieste,Italy,Oxford,United Kingdom,PAK,29-01-1926,21-11-1996,71,15-10-1979,54,1970,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
6,982,2019,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2019,for their experimental approach to alleviating global poverty,01-Mar,Individual,Abhijit Banerjee,male,Mumbai,India,Asia,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,,,IND,21-02-1961,,,14-10-2019,59,2010,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,981,2019,Peace,The Nobel Peace Prize 2019,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",1,Individual,Abiy Ahmed Ali,male,Beshasha,Ethiopia,Africa,,,,,,ETH,15-08-1976,,,11-10-2019,43,2010,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
8,843,2009,Chemistry,The Nobel Prize in Chemistry 2009,for studies of the structure and function of the ribosome,01-Mar,Individual,Ada E. Yonath,female,Jerusalem,Israel,Asia,Weizmann Institute of Science,Rehovot,Israel,,,ISR,22-06-1939,,,07-10-2009,70,2000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
9,866,2011,Physics,The Nobel Prize in Physics 2011,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,01-Apr,Individual,Adam G. Riess,male,"Washington, D.C.",USA,North America,Johns Hopkins University,"Baltimore, MD",USA,,,USA,16-12-1969,,,04-10-2011,42,2010,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
